0.0485979,0.0745446,-0.0864977
0.35862,-0.935182,-0.131665
0.899509,-1.4078,-0.15632
1.55482,-1.69674,-0.185241
1.92973,-2.34058,-0.210745
2.40545,-2.93261,-0.221479
2.89262,-3.33421,-0.228702
3.49811,-3.74924,-0.24106
4.06035,-4.18054,-0.253404
4.69581,-4.53625,-0.269791
5.18317,-5.097,-0.295057
5.69418,-5.62122,-0.338006
6.23464,-6.03686,-0.381186
6.71623,-6.54391,-0.416671
7.07175,-7.06972,-0.45505
7.57685,-7.46526,-0.479281
8.00021,-7.88771,-0.505669
8.6013,-8.16848,-0.525748
9.20043,-8.46839,-0.557831
9.79109,-8.86274,-0.595031
10.2209,-9.317,-0.612746
10.8368,-9.5878,-0.626747
11.5819,-9.9634,-0.659258
12.0362,-10.4667,-0.685238
12.5753,-10.8561,-0.692574
13.2014,-11.1158,-0.730837
13.7614,-11.5327,-0.766662
14.3434,-11.9089,-0.789942
14.8068,-12.4224,-0.80949
15.3387,-12.7975,-0.822262
15.8535,-13.2348,-0.834211
16.476,-13.5387,-0.84824
17.0594,-13.9301,-0.860907
17.6146,-14.3511,-0.874313
18.1783,-14.6861,-0.903012
18.6982,-15.0782,-0.933862
19.1914,-15.4792,-0.964256
19.7026,-15.8574,-0.987931
20.2219,-16.3361,-0.99575
20.8465,-16.7395,-1.01324
21.3029,-17.1975,-1.04037
21.7417,-17.5633,-1.07075
22.2525,-17.9906,-1.09635
22.76,-18.4277,-1.12309
23.2093,-18.8721,-1.14497
23.3884,-19.3385,-1.17996
23.8526,-19.6159,-1.19876
24.317,-19.9616,-1.21235
24.8719,-20.2614,-1.21674
25.4024,-20.5765,-1.23481
25.3641,-20.7238,-1.30058
25.9558,-21.0623,-1.3233
26.6147,-21.3287,-1.33744
27.1692,-21.6655,-1.35304
27.7229,-22.0095,-1.36601
28.2193,-22.3846,-1.38711
28.7691,-22.741,-1.41158
29.2137,-23.1256,-1.44075
29.749,-23.5343,-1.46497
30.3017,-23.9531,-1.49329
30.8244,-24.3287,-1.52814
31.2172,-24.8268,-1.55593
31.4119,-25.1472,-1.58176
31.8502,-25.5747,-1.59099
32.3591,-25.8243,-1.60898
32.8179,-26.1699,-1.63309
33.34,-26.3881,-1.66666
33.8576,-26.6873,-1.70765
34.3198,-27.1293,-1.73576
34.9284,-27.285,-1.77778
35.511,-27.5743,-1.83045
36.0225,-27.9658,-1.87831
36.6559,-28.3493,-1.91074
37.2407,-28.7331,-1.92777
37.9213,-29.0078,-1.96594
38.4551,-29.4053,-2.02916
39.076,-29.8113,-2.07486
39.6469,-30.2284,-2.09962
39.7355,-30.4521,-2.14777
40.4386,-30.7803,-2.15531
41.0919,-31.2212,-2.16292
41.7169,-31.5731,-2.18028
42.2451,-31.9718,-2.20421
42.989,-32.2656,-2.23089
43.5482,-32.8309,-2.25895
44.2755,-33.1251,-2.287
44.9633,-33.5587,-2.31648
45.5295,-34.0077,-2.35686
46.1122,-34.5657,-2.39527
46.5734,-35.1769,-2.42557
46.9831,-35.7165,-2.4554
47.4704,-36.1733,-2.4849
47.9985,-36.6344,-2.51508
48.5514,-36.9656,-2.55842
49.076,-37.377,-2.60917
49.7863,-37.6939,-2.66081
50.3443,-38.1665,-2.70156
50.8152,-38.7702,-2.73193
51.4148,-39.2243,-2.76605
52.0135,-39.7154,-2.78765
52.5591,-40.1335,-2.81202
53.2425,-40.4514,-2.85734
53.8559,-40.9306,-2.89401
54.3268,-41.5505,-2.91617
54.8934,-42.0826,-2.92307
55.2517,-42.7709,-2.92135
56.0662,-42.8474,-2.94132
56.4016,-43.7608,-2.92763
56.8946,-44.2822,-2.8983
57.2641,-44.8121,-2.88545
57.7273,-45.1516,-2.89363
58.0621,-45.7876,-2.89325
58.3452,-46.2421,-2.90456
58.7606,-46.5258,-2.92927
58.9915,-47.1933,-2.94876
59.5168,-47.4537,-2.94955
60.0351,-47.7473,-2.94173
60.5255,-48.0187,-2.97275
61.055,-48.3755,-3.01667
61.4293,-48.8684,-3.05124
61.7623,-49.2629,-3.09023
62.1228,-49.6521,-3.12495
62.6791,-49.9501,-3.15852
63.0003,-50.3831,-3.20942
63.3127,-50.9206,-3.23979
63.6004,-51.537,-3.23886
63.8043,-51.9628,-3.25622
64.1247,-52.2535,-3.27108
64.5566,-52.5019,-3.27595
64.903,-52.8915,-3.28524
65.183,-53.3111,-3.30282
65.5441,-53.6016,-3.32773
65.8505,-54.0805,-3.35017
66.0889,-54.6103,-3.3707
66.2583,-55.1735,-3.4048
66.5143,-55.4704,-3.44894
66.7512,-55.9449,-3.47792
66.9482,-56.3481,-3.49443
67.1603,-56.794,-3.50427
67.2994,-57.3175,-3.50804
67.3759,-57.9186,-3.51276
67.4813,-58.4039,-3.52152
67.6463,-58.7914,-3.54836
67.7135,-59.2577,-3.59117
67.8685,-59.4859,-3.63293
68.0276,-59.7149,-3.67214
68.0559,-60.2239,-3.71288
68.0726,-60.7562,-3.7474
68.1376,-61.285,-3.78058
68.243,-62.1018,-3.78681
68.1582,-62.5544,-3.81371
68.0169,-63.1153,-3.8551
67.9542,-63.5235,-3.90736
67.9792,-64.1212,-3.94826
67.8279,-64.706,-4.00605
67.732,-65.251,-4.0631
67.2747,-66.2036,-4.15192
67.266,-66.6268,-4.23716
67.2824,-67.1915,-4.2864
67.4084,-67.948,-4.29897
67.3291,-68.3802,-4.33766
67.2421,-69.094,-4.37064
67.1713,-69.5984,-4.41822
67.1243,-70.107,-4.46781
67.0462,-70.6503,-4.51879
66.9975,-71.3968,-4.54937
