1.0748,-2.58923,-13.0491;
-0.148709,-0.173879,-1.32563;
-0.895783,-2.54258,-18.8233;
-0.441488,-2.92185,-27.6655;
-1.68168,-1.88656,-11.2055;
2.03017,-3.27689,-27.9883;
-0.93511,-1.852,-12.3152;
-0.870607,-2.10001,-10.8789;
1.63544,-2.77563,-17.1263;
-1.26534,-2.26019,-17.1152;
-1.69229,-2.64985,-11.7793;
-0.180275,-2.48732,-11.4183;
1.52707,-2.58416,-15.5444;
1.23262,-2.93482,-25.111;
0.862833,-2.69132,-13.1189;
0.0760152,0.332141,1.28817;
1.95681,-3.91172,-18.321;
0.873707,-2.64098,-14.7789;
-1.3567,-2.24791,-9.66838;
0.709715,-2.56868,-30.8474;
1.4731,-2.48177,-12.6946;
-1.05536,-1.65699,-11.8185;
-1.6731,-2.29046,-14.2537;
-1.16344,-2.05909,-9.02108;
-0.8811,-1.32496,-9.64149;
0.432001,-2.69594,-16.9131;
-1.23385,-1.97266,-8.97761;
0.0785066,-3.15093,-30.3845;
0.4952,-2.01832,-15.2781;
-0.152179,0.27208,1.07902;
-0.136023,-0.142259,-1.23407;
1.30622,-2.47919,-13.0217;
-1.57082,-1.70188,-10.4328;
-0.0559281,-2.16037,-13.9909;
-1.8856,-2.44486,-13.7981;
0.414495,1.11128,4.23926;
2.37166,-4.23292,-31.3531;
-0.280417,-3.28232,-24.7687;
-0.0759474,0.00434849,-0.217682;
-1.12475,-2.22857,-11.8191;
0.308619,-3.06646,-18.7069;
-1.06546,-2.41432,-13.7888;
0.100325,-2.92767,-19.6068;
2.33018,-5.47723,-27.1673;
-0.631725,-2.37857,-14.8525;
-0.399239,0.942101,4.14042;
0.498262,-2.5062,-15.3229;
-0.429664,-2.36407,-13.1343;
-0.992692,-1.89797,-10.2124;
-0.443,1.35311,4.92203;
-1.22565,-2.21073,-11.7282;
2.13691,-2.94684,-22.5347;
-1.1558,-2.34692,-16.3802;
0.238056,-2.30536,-11.0373;
0.0135609,-4.2837,-17.3498;
0.515778,-2.38588,-11.6172;
0.00594884,-2.34767,-11.0636;
-1.52756,-2.89242,-17.6559;
1.24657,-2.86292,-19.5376;
-1.49968,-2.0223,-11.3398;
1.26505,-2.88736,-17.8627;
1.05236,-2.34363,-10.0175;
1.30998,-2.64898,-13.5571;
-0.720189,-2.52872,-11.3648;
-1.11489,-2.4155,-11.5308;
0.167812,0.88616,3.75608;
0.947178,-1.66528,-14.4606;
BIC: 612.926
MinW: 1
BIC: 408.952
MinW: 0.836346
BIC: 399.922
MinW: 0.0876456
BIC: 401.498
MinW: 0.0772543
